"domain_1","domain_2"
"PF00001","PF00001"
"PF00001","PF00009"
"PF00001","PF00011"
"PF00001","PF00017"
"PF00001","PF00022"
"PF00001","PF00048"
"PF00001","PF00057"
"PF00001","PF00105"
"PF00001","PF00115"
"PF00001","PF00238"
"PF00001","PF00487"
"PF00001","PF00503"
"PF00001","PF00560"
"PF00001","PF00595"
"PF00001","PF00615"
"PF00001","PF00631"
"PF00001","PF00827"
"PF00001","PF00918"
"PF00001","PF00959"
"PF00001","PF01166"
"PF00001","PF01247"
"PF00001","PF01283"
"PF00001","PF01462"
"PF00001","PF01661"
"PF00001","PF01922"
"PF00001","PF01965"
"PF00001","PF02162"
"PF00001","PF02978"
"PF00001","PF04084"
"PF00001","PF04360"
"PF00001","PF04858"
"PF00001","PF10413"
"PF00002","PF00008"
"PF00002","PF00028"
"PF00002","PF00053"
"PF00002","PF00054"
"PF00002","PF00090"
"PF00002","PF01825"
"PF00002","PF06652"
"PF00003","PF00084"
"PF00003","PF00630"
"PF00003","PF01094"
"PF00004","PF00004"
"PF00004","PF00009"
"PF00004","PF00010"
"PF00004","PF00018"
"PF00004","PF00022"
"PF00004","PF00023"
"PF00004","PF00036"
"PF00004","PF00043"
"PF00004","PF00056"
"PF00004","PF00069"
"PF00004","PF00070"
"PF00004","PF00071"
"PF00004","PF00076"
"PF00004","PF00117"
"PF00004","PF00118"
"PF00004","PF00125"
"PF00004","PF00136"
"PF00004","PF00141"
"PF00004","PF00149"
"PF00004","PF00160"
"PF00004","PF00172"
"PF00004","PF00180"
"PF00004","PF00226"
"PF00004","PF00227"
"PF00004","PF00231"
"PF00004","PF00237"
"PF00004","PF00240"
"PF00004","PF00270"
"PF00004","PF00271"
"PF00004","PF00282"
"PF00004","PF00289"
"PF00004","PF00320"
"PF00004","PF00330"
"PF00004","PF00352"
"PF00004","PF00389"
"PF00004","PF00400"
"PF00004","PF00408"
"PF00004","PF00439"
"PF00004","PF00442"
"PF00004","PF00443"
"PF00004","PF00464"
"PF00004","PF00467"
"PF00004","PF00493"
"PF00004","PF00494"
"PF00004","PF00498"
"PF00004","PF00505"
"PF00004","PF00514"
"PF00004","PF00515"
"PF00004","PF00521"
"PF00004","PF00533"
"PF00004","PF00557"
"PF00004","PF00586"
"PF00004","PF00587"
"PF00004","PF00595"
"PF00004","PF00610"
"PF00004","PF00611"
"PF00004","PF00621"
"PF00004","PF00623"
"PF00004","PF00627"
"PF00004","PF00633"
"PF00004","PF00646"
"PF00004","PF00705"
"PF00004","PF00730"
"PF00004","PF00735"
"PF00004","PF00780"
"PF00004","PF00783"
"PF00004","PF00788"
"PF00004","PF00789"
"PF00004","PF00806"
"PF00004","PF00828"
"PF00004","PF01008"
"PF00004","PF01071"
"PF00004","PF01134"
"PF00004","PF01214"
"PF00004","PF01237"
"PF00004","PF01336"
"PF00004","PF01398"
"PF00004","PF01399"
"PF00004","PF01423"
"PF00004","PF01426"
"PF00004","PF01432"
"PF00004","PF01434"
"PF00004","PF01624"
"PF00004","PF01661"
"PF00004","PF01749"
"PF00004","PF01761"
"PF00004","PF01851"
"PF00004","PF01854"
"PF00004","PF02142"
"PF00004","PF02151"
"PF00004","PF02178"
"PF00004","PF02207"
"PF00004","PF02359"
"PF00004","PF02367"
"PF00004","PF02383"
"PF00004","PF02747"
"PF00004","PF02769"
"PF00004","PF02786"
"PF00004","PF02787"
"PF00004","PF02798"
"PF00004","PF02842"
"PF00004","PF02843"
"PF00004","PF02844"
"PF00004","PF02852"
"PF00004","PF02861"
"PF00004","PF02866"
"PF00004","PF02879"
"PF00004","PF02889"
"PF00004","PF02933"
"PF00004","PF03215"
"PF00004","PF03950"
"PF00004","PF04110"
"PF00004","PF04212"
"PF00004","PF05160"
"PF00004","PF05291"
"PF00004","PF05348"
"PF00004","PF05362"
"PF00004","PF05491"
"PF00004","PF05496"
"PF00004","PF06068"
"PF00004","PF06144"
"PF00004","PF06418"
"PF00004","PF06480"
"PF00004","PF07499"
"PF00004","PF07724"
"PF00004","PF08423"
"PF00004","PF08519"
"PF00004","PF08542"
"PF00004","PF09115"
"PF00004","PF09336"
"PF00004","PF10431"
"PF00004","PF12169"
"PF00005","PF00005"
"PF00005","PF00008"
"PF00005","PF00009"
"PF00005","PF00027"
"PF00005","PF00037"
"PF00005","PF00043"
"PF00005","PF00063"
"PF00005","PF00069"
"PF00005","PF00076"
"PF00005","PF00082"
"PF00005","PF00096"
"PF00005","PF00118"
"PF00005","PF00176"
"PF00005","PF00266"
"PF00005","PF00270"
"PF00005","PF00271"
"PF00005","PF00282"
"PF00005","PF00400"
"PF00005","PF00505"
"PF00005","PF00528"
"PF00005","PF00560"
"PF00005","PF00571"
"PF00005","PF00580"
"PF00005","PF00595"
"PF00005","PF00612"
"PF00005","PF00633"
"PF00005","PF00664"
"PF00005","PF00755"
"PF00005","PF00806"
"PF00005","PF00885"
"PF00005","PF00899"
"PF00005","PF00909"
"PF00005","PF01032"
"PF00005","PF01369"
"PF00005","PF01423"
"PF00005","PF01458"
"PF00005","PF01843"
"PF00005","PF01873"
"PF00005","PF02020"
"PF00005","PF02131"
"PF00005","PF02146"
"PF00005","PF02687"
"PF00005","PF02736"
"PF00005","PF02798"
"PF00005","PF02826"
"PF00005","PF02985"
"PF00005","PF03144"
"PF00005","PF03412"
"PF00005","PF03459"
"PF00005","PF04068"
"PF00005","PF04954"
"PF00005","PF08402"
"PF00006","PF00006"
"PF00006","PF00069"
"PF00006","PF00076"
"PF00006","PF00137"
"PF00006","PF00213"
"PF00006","PF00231"
"PF00006","PF00306"
"PF00006","PF00400"
"PF00006","PF00515"
